序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 02:00:00,5.2354,450000.0,2025-02-01 02:00:00,5.194298,446467.15,85953.31779807,-3532.8533,-0.7851,阶段低点止损,0,否
2,OMUSDT,2025-02-08 10:00:00,5.9856,448410.22,2025-02-08 10:00:00,5.9103995,442776.58,74914.83160073,-5633.6328,-1.2564,阶段低点止损,0,否
3,OMUSDT,2025-02-11 04:00:00,6.0474,445875.08,2025-02-11 09:00:00,6.0639,447091.63,73730.04618053,1216.5458,0.2728,MA5首次上升止损,5,否
4,TFUELUSDT,2025-02-11 13:00:00,0.05225,446422.53,2025-02-11 14:00:00,0.052915,452104.27,8543971.80602915,5681.7413,1.2727,MA5首次上升止损,1,否
5,TFUELUSDT,2025-02-11 21:00:00,0.05178,448979.31,2025-02-11 21:00:00,0.051143,443455.95,8670902.0940127,-5523.3646,-1.2302,阶段低点止损,0,否
6,LISTAUSDT,2025-02-11 22:00:00,0.2581,446493.8,2025-02-11 22:00:00,0.2558145,442540.05,1729925.59605862,-3953.7449,-0.8855,阶段低点止损,0,否
7,STORJUSDT,2025-02-12 00:00:00,0.3382,444714.61,2025-02-12 01:00:00,0.335116,440659.32,1314945.62718901,-4055.2923,-0.9119,阶段低点止损,1,否
8,COOKIEUSDT,2025-02-12 01:00:00,0.222,444063.71,2025-02-12 01:00:00,0.2193975,438857.97,2000286.99563002,-5205.7469,-1.1723,阶段低点止损,0,否
9,SCRUSDT,2025-02-12 05:00:00,0.627,443065.07,2025-02-12 06:00:00,0.621875,439443.52,706642.84837615,-3621.5446,-0.8174,阶段低点止损,1,否
10,MOVRUSDT,2025-02-12 04:00:00,7.401,440547.14,2025-02-12 08:00:00,7.5215,447719.95,59525.35379897,7172.8051,1.6282,MA5首次上升止损,4,否
11,RPLUSDT,2025-02-12 12:00:00,8.97,442145.21,2025-02-12 12:00:00,8.92515,439934.48,49291.55080344,-2210.7261,-0.5,阶段低点止损,0,否
12,SUPERUSDT,2025-02-12 15:00:00,0.7065,441150.38,2025-02-12 17:00:00,0.7074,441712.36,624416.67938109,561.975,0.1274,MA5下跌破线,2,否
13,ADXUSDT,2025-02-12 16:00:00,0.1508,441909.05,2025-02-12 21:00:00,0.1511,442788.18,2930431.36769358,879.1294,0.1989,MA5首次上升止损,5,否
14,KAVAUSDT,2025-02-13 16:00:00,0.4824,441798.88,2025-02-13 16:00:00,0.478993,438678.63,915835.15956163,-3120.2504,-0.7063,阶段低点止损,0,否
15,SHIBUSDT,2025-02-13 18:00:00,1.644e-05,442172.68,2025-02-13 19:00:00,1.62e-05,435679.95,26896148284.601658,-6492.7302,-1.4684,阶段低点止损,1,否
