ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,oamvv1,oamvv3,oamvo,oamvh,oamvl,oamvc,oamv_zdf,oamv_smx
930903.CSI,20240827,2595.4568,2612.7342,2612.7342,2590.8031,2620.1974,-24.7406,-0.9442,552671719.12,502001761.782,502001.761782,,,,,,,
930903.CSI,20240828,2590.831,2589.3709,2601.7206,2584.2793,2595.4568,-4.6258,-0.1782,535891927.87,485089503.891,500310.5359929,2595.4568,43424.95326029598,43632.06346813785,43339.56476225574,43449.43981579692,,43449.43981579692
930903.CSI,20240829,2605.2038,2580.6501,2613.2362,2578.3595,2590.831,14.3728,0.5548,635410568.16,594952554.022,509774.73779581004,2593.1439,44136.72139140065,44694.03972639395,44097.54538144132,44556.66201645014,2.548300289594676,43619.78169282049
930903.CSI,20240830,2647.797,2603.2776,2676.2702,2603.2776,2605.2038,42.5932,1.6349,897574233.67,862762278.343,545073.4918505291,2597.1638666666663,47533.02392710494,48865.7895923193,47533.02392710494,48345.899859130164,8.504312646403038,44346.87679532967
930903.CSI,20240902,2600.4872,2640.9554,2643.6035,2600.4872,2647.797,-47.3098,-1.7868,754404709.89,693855057.346,559951.6484000762,2609.82215,49296.93683286204,49346.36713313409,48541.54418248271,48541.54418248271,0.4046761440424297,44992.21023950706
930903.CSI,20240903,2616.6104,2598.1801,2624.5693,2598.1801,2600.4872,16.1232,0.62,623618769.41,568158972.19,560772.3807790686,2607.95516,48604.334405877,49097.99899113944,48604.334405877,48949.11129967303,0.839625364323294,45600.96424876336
930903.CSI,20240904,2601.2129,2600.3421,2621.1093,2596.6287,2616.6104,-15.3975,-0.5885,591285832.74,545239413.804,559219.0840815618,2612.18588,48431.46946689838,48818.25934839627,48362.307252158105,48447.68814966777,-1.0243764119341883,46038.921771979425
930903.CSI,20240905,2612.7405,2602.2234,2622.4363,2602.2107,2601.2129,11.5276,0.4432,570732317.26,524055677.577,555702.7434311056,2614.26226,48123.50133871185,48497.30303468049,48123.26647476167,48317.99642930606,-0.2676943427332441,46389.548642337366
930903.CSI,20240906,2581.1291,2614.9576,2619.1173,2580.8074,2612.7405,-31.6114,-1.2099,591878835.42,529959598.498,553128.428937795,2615.7696,48107.234997051884,48183.7607752967,47478.975595600656,47484.893893281114,-1.7242075367174174,46558.06329632871
930903.CSI,20240909,2558.9134,2568.9307,2575.3575,2548.5034,2581.1291,-22.2157,-0.8607,570629618.73,508194269.359,548635.0129799155,2602.43602,47116.72547888162,47234.599336400504,46742.068627930086,46932.998306272566,-1.162255070525995,46615.74560555084
930903.CSI,20240910,2563.835,2560.159,2572.4978,2531.931,2558.9134,4.9216,0.1923,590564005.74,517831047.892,545554.616471124,2594.12126,46841.86229500251,47067.618730632326,46325.38965058342,46909.12010430124,-0.05087721397107932,46660.880143820126
930903.CSI,20240911,2557.5337,2554.9713,2566.8505,2547.2237,2563.835,-6.3013,-0.2458,537860024.02,490732321.892,540072.3870132116,2583.56618,46466.25388186829,46682.29620027457,46325.35134078097,46512.85523858291,-0.8447501569785277,46638.10708147594
930903.CSI,20240912,2548.2048,2560.0073,2576.7736,2548.0311,2557.5337,-9.3289,-0.3648,558213109.05,505466452.047,536611.7935165905,2574.83034,46416.46387239834,46720.460020465485,46199.31884526165,46202.468265880336,-0.6673143824658277,46571.08572523046
930903.CSI,20240913,2528.618,2549.5612,2556.0414,2528.618,2548.2048,-19.5868,-0.7687,581486451.04,515140222.108,534464.6363757314,2561.9232,46274.05539392577,46391.669802932214,45893.94026002507,45893.94026002507,-0.6677738602184362,46466.909499814254
930903.CSI,20240918,2530.3456,2528.2115,2538.0558,2503.8007,2528.618,1.7276,0.0683,564803618.53,471416962.594,528159.8689975583,2551.42098,45531.916631616186,45709.20790922355,45092.28944436897,45570.35078290596,-0.7050810527178998,46328.97738952067
930903.CSI,20240919,2562.9975,2538.3649,2579.199,2519.5088,2530.3456,32.6519,1.2904,709690351.74,617808993.813,537124.7814791024,2545.70742,46595.074238234716,47344.638621571205,46248.945366320535,47047.238474228034,3.2408960342611053,46439.47909486026
930903.CSI,20240920,2560.8356,2561.0921,2564.8742,2543.096,2562.9975,-2.1619,-0.0844,649352631.41,564889817.402,539901.2850713922,2545.53992,47258.38740330128,47328.1763605192,46926.31552445378,47253.654353533595,0.4387417540322449,46564.73682696385
