trade_date,is_turn,expected_trend,sig_avg,sig_margin,sig_turnover,sig_index,sig_oamv,score_4f,score_5f,judge_4f,judge_5f,oamv_zdf
20241202,False,,1,1,0,-1,0,1.0,1.0,空头,空头,1.3412294682524548
20241203,False,,0,1,0,-1,0,0.0,0.0,空头,空头,-0.7835539664524334
20241204,False,,0,1,0,-1,-1,0.0,-1.5,空头,空头,-2.270929971751773
20241205,False,,0,1,-1,-1,0,-0.8,-0.8,空头,空头,-1.2002249460664831
20241206,False,,0,1,-1,0,0,0.19999999999999996,0.19999999999999996,空头,空头,1.0742102211178988
20241209,False,,0,1,-1,0,0,0.19999999999999996,0.19999999999999996,空头,空头,-1.3594507454439415
20241210,False,,1,1,1,0,1,2.8,4.3,多头,多头,3.467535483113244
20241211,False,,0,1,1,0,0,1.8,1.8,空头,空头,0.3945570118255825
20241212,False,,1,1,1,0,0,2.8,2.8,多头,多头,0.9354556883777064
20241213,False,,1,1,1,0,0,2.8,2.8,多头,多头,-1.0995614077469842
20241216,False,,1,1,1,-1,0,1.7999999999999998,1.7999999999999998,空头,空头,-1.3598860142383966
20241217,True,,1,1,1,-1,-1,1.7999999999999998,0.2999999999999998,空头,空头,-2.7797759929075747
20241218,False,空头,1,1,1,-1,0,1.7999999999999998,1.7999999999999998,空头,空头,-1.18224525052192
20241219,False,空头,0,1,-1,0,0,0.19999999999999996,0.19999999999999996,空头,空头,-1.0035164714971427
20241220,False,空头,1,1,-1,1,0,2.2,2.2,多头,多头,-0.1850879500381415
20241223,False,空头,-1,1,0,-1,-1,-1.0,-2.5,空头,空头,-2.3084462220353563
20241224,False,空头,1,1,0,1,0,3.0,3.0,多头,多头,-0.6907618107755481
20241225,False,空头,1,1,0,-1,-1,1.0,-0.5,空头,空头,-3.032138045268338
20241226,False,空头,1,1,0,-1,0,1.0,1.0,空头,空头,-1.298934609277511
20241227,False,空头,1,1,0,-1,0,1.0,1.0,空头,空头,-0.6255122912220641
20241230,False,空头,1,1,0,-1,-1,1.0,-0.5,空头,空头,-1.8007380341222283
20241231,False,空头,-1,-1,0,-1,-1,-3.0,-4.5,空头,空头,-3.5832828392438767
20250102,False,空头,-1,-1,0,-1,-1,-3.0,-4.5,空头,空头,-2.889083315803581
20250103,False,空头,-1,-1,0,-1,-1,-3.0,-4.5,空头,空头,-2.894832524282189
20250106,False,空头,-1,-1,0,-1,0,-3.0,-3.0,空头,空头,-1.7355639442309314
20250107,False,空头,-1,-1,0,-1,0,-3.0,-3.0,空头,空头,0.2713885151602033
20250108,False,空头,-1,-1,0,-1,0,-3.0,-3.0,空头,空头,-0.0138166920455744
20250109,False,空头,-1,-1,0,-1,0,-3.0,-3.0,空头,空头,-1.1180953701598888
20250110,False,空头,-1,-1,0,-1,-1,-3.0,-4.5,空头,空头,-3.0600686757061077
20250113,False,空头,-1,-1,0,-1,-1,-3.0,-4.5,空头,空头,-2.647458498194537
20250114,True,,-1,-1,0,-1,1,-3.0,-1.5,空头,空头,4.23200543567441
20250115,False,多头,-1,-1,0,-1,0,-3.0,-3.0,空头,空头,-1.700663902985081
20250116,False,多头,-1,-1,-1,-1,0,-3.8,-3.8,空头,空头,0.053849949181944
20250117,False,多头,-1,-1,-1,-1,0,-3.8,-3.8,空头,空头,-1.1154580809935533
20250120,False,多头,-1,-1,-1,-1,0,-3.8,-3.8,空头,空头,-0.8198528965651175
20250121,False,多头,-1,-1,-1,-1,0,-3.8,-3.8,空头,空头,-1.1550744137538973
20250122,False,多头,-1,-1,-1,-1,-1,-3.8,-5.3,空头,空头,-2.087713297055988
20250123,False,多头,-1,-1,-1,-1,0,-3.8,-3.8,空头,空头,0.6480595571570401
20250124,False,多头,-1,-1,1,-1,0,-2.2,-2.2,空头,空头,0.7892683433947445
20250127,True,,-1,-1,1,-1,-1,-2.2,-3.7,空头,空头,-2.1545297723020083
20250205,False,空头,-1,-1,1,-1,0,-2.2,-2.2,空头,空头,0.6818606558459452
20250206,True,,-1,-1,1,-1,1,-2.2,-0.7000000000000002,空头,空头,4.51088352760172
20250207,False,多头,-1,-1,1,-1,1,-2.2,-0.7000000000000002,空头,空头,6.55911118256374
20250210,False,多头,-1,-1,1,1,1,-0.19999999999999996,1.3,空头,空头,3.1807086464972163
20250211,False,多头,-1,-1,1,-1,0,-2.2,-2.2,空头,空头,0.8733376928793848
20250212,False,多头,1,1,1,1,1,3.8,5.3,多头,多头,2.4275435245849524
20250213,False,多头,1,1,1,1,0,3.8,3.8,多头,多头,1.1096437925310585
20250214,False,多头,1,1,1,1,0,3.8,3.8,多头,多头,1.847919788240008
20250217,False,多头,1,1,1,1,1,3.8,5.3,多头,多头,3.205106882269051
20250218,False,多头,1,1,1,1,0,3.8,3.8,多头,多头,-0.2260510513312608
20250219,False,多头,1,1,1,1,1,3.8,5.3,多头,多头,2.5582810869978103
20250220,False,多头,1,1,1,1,0,3.8,3.8,多头,多头,1.3563956274655378
