trade_date,real_oamvo,real_oamvh,real_oamvl,real_oamvc,real_pct_abs,real_pct_chg,real_amount_yi,real_vol_yi,real_turnover_yi
20260202,230396.7,234066.4,224113.4,224140.3,3.42,-3.42,25844.83,1543.45,71641.96
20260203,227355.7,230038.0,227068.5,228628.5,2.0,2.0,25440.63,1420.18,71674.25
20260204,228024.0,230914.6,225110.1,226406.7,0.97,-0.97,24807.54,1489.01,69717.06
20260205,223813.1,225950.7,219222.9,219222.9,3.17,-3.17,21759.84,1322.33,71684.81
20260206,216813.0,222443.8,215632.9,215632.9,1.64,-1.64,21455.65,1286.52,71690.02
20260209,219237.2,222542.1,217704.4,217965.3,1.08,-1.08,22492.86,1298.47,71690.34
20260210,218050.9,220458.8,214342.1,214350.3,1.66,-1.66,21054.12,1257.28,69724.14
20260211,213948.8,216431.5,209695.9,209747.6,2.15,-2.15,19840.93,1182.23,71697.03
20260212,210152.3,212931.7,208675.1,208858.0,0.42,-0.42,21415.07,1225.11,69731.4
20260213,207656.4,210511.8,202851.6,203140.2,2.74,-2.74,19825.05,1140.99,71709.3
20260224,206165.5,209579.8,204357.3,204400.4,0.62,-0.62,22017.81,1278.22,71710.04
20260225,204843.1,209105.9,204828.5,207305.2,1.42,1.42,24622.36,1517.8,71735.67
20260226,207690.4,211341.8,207636.7,209349.5,0.99,0.99,25382.37,1444.3,71736.6
20260227,207773.1,212595.0,207773.1,210796.4,0.69,0.69,24870.93,1462.29,71739.48
20260302,209495.9,215928.5,209495.9,214151.4,1.59,1.59,30202.61,1794.64,69762.96
20260303,214776.1,217220.7,210207.3,210566.3,1.67,-1.67,31290.77,1890.87,69769.3
20260304,208356.3,215985.3,208356.3,209324.7,0.59,0.59,23655.04,1505.12,69769.62
20260305,212925.6,215802.9,210011.7,210648.5,0.63,-0.63,23898.43,1448.25,69773.29
20260306,209627.1,213941.1,209575.8,209867.2,0.37,0.37,21999.73,1375.63,71754.81
20260309,207041.8,211129.4,206797.3,209943.2,0.04,0.04,26472.44,1634.42,71773.16
20260310,212029.5,216465.7,212029.5,212473.0,1.2,1.2,23976.93,1410.68,69795.95
20260311,212926.0,216735.8,212243.5,212401.9,0.03,-0.03,25081.99,1478.18,71777.98
20260312,212200.5,214839.9,210372.8,210470.7,0.91,-0.91,24416.71,1554.27,71785.26
20260313,209690.9,213639.0,206363.6,206959.0,1.67,-1.67,24000.86,1565.6,71789.99
20260316,206955.9,209061.2,205649.1,206155.8,0.39,-0.39,23251.22,1484.69,71793.82
20260317,206631.0,208785.0,200154.2,200231.3,2.87,-2.87,22077.03,1431.49,71802.25
20260318,201281.1,202732.7,199311.9,200538.3,0.15,-0.15,20458.74,1289.37,71802.81
20260319,198044.4,200584.9,193929.0,194819.3,2.85,-2.85,21107.58,1346.02,71804.25
20260320,196100.1,198394.4,191743.5,191989.9,1.45,-1.45,22865.94,1400.27,69824.18
20260323,188681.9,194448.5,185076.1,186349.4,2.94,-2.94,24311.6,1656.21,69825.42
20260324,189075.4,190823.8,186657.5,190154.4,2.04,2.04,20827.12,1411.64,69831.55
